molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL486903,Cc1cc(C)c(NS(=O)(=O)c2cc(S(=O)(=O)Nc3c(C)cc(C)cc3C)c3cc(O)ccc3c2)c(C)c1,intermediate,1100.0
CHEMBL483894,Fc1cccc(Cl)c1-c1nc(-c2ccc(C#Cc3ccc(C(F)(F)F)cc3)nc2)c(Br)[nH]1,active,0.8
CHEMBL1087254,O=C(Nc1ccccc1CCc1ccc(Cl)c(Cl)c1)C1=C(O)c2ccccc2S(=O)(=O)C1,intermediate,1680.0
CHEMBL1087254,O=C(Nc1ccccc1CCc1ccc(Cl)c(Cl)c1)C1=C(O)c2ccccc2S(=O)(=O)C1,intermediate,3400.0
CHEMBL1087267,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,500.0
CHEMBL1087267,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,intermediate,5000.0
CHEMBL455936,Cc1cccc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)c1C,intermediate,5100.0
CHEMBL1090493,O=C(O)C(Sc1nc(Cl)cc(Nc2ccc(Cl)cc2)n1)c1cccc2ccccc12,intermediate,5100.0
CHEMBL1091866,Cc1ccc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)cc1C,intermediate,5700.0
CHEMBL1683859,CC(C)(C)c1cc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)cc(C(C)(C)C)c1,active,900.0
CHEMBL1089826,O=C(O)C(Sc1nc(Cl)cc(NCCCc2ccccc2)n1)c1cccc2ccccc12,intermediate,6100.0
CHEMBL1091523,O=C(O)C(Sc1nc(Cl)cc(Nc2ccc3ccccc3c2)n1)c1cccc2ccccc12,intermediate,1900.0
CHEMBL1683861,O=C(O)C(Sc1nc(Cl)cc(Nc2ccc(-c3ccccc3)cc2)n1)c1cccc2ccccc12,active,940.0
CHEMBL1683862,O=C(O)C(Sc1nc(Cl)cc(Nc2cccc(-c3ccccc3)c2)n1)c1cccc2ccccc12,intermediate,1900.0
CHEMBL1683863,N#Cc1ccc(-c2ccc(Nc3cc(Cl)nc(SC(C(=O)O)c4cccc5ccccc45)n3)cc2)cc1,intermediate,1600.0
CHEMBL1683864,O=C(O)C(Sc1nc(Cl)cc(Nc2ccc(C3CCCCC3)cc2)n1)c1cccc2ccccc12,intermediate,1450.0
CHEMBL1683865,O=C(O)C(Sc1nc(Cl)cc(Nc2ccc(Oc3ccccc3)cc2)n1)c1cccc2ccccc12,active,940.0
CHEMBL1683867,O=C(O)C(Sc1nc(Cl)cc(NCc2ccc(-c3ccccc3)cc2)n1)c1cccc2ccccc12,active,880.0
CHEMBL1683868,O=C(O)C(Sc1nc(Cl)cc(Nc2ccc(Cc3ccccc3)cc2)n1)c1cccc2ccccc12,intermediate,1500.0
CHEMBL1683869,O=C(O)C(Sc1nc(Cl)cc(Nc2ccc3c(c2)Cc2ccccc2-3)n1)c1cccc2ccccc12,intermediate,1550.0
CHEMBL29097,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,intermediate,3000.0
CHEMBL1683191,CC(C)NC(=O)N(Cc1ccccc1)Cc1cccc(-c2ccccc2)c1,intermediate,1700.0
CHEMBL1683192,CC(C)NC(=O)N(Cc1ccccc1)Cc1cccc(Br)c1,intermediate,4500.0
